CouponTime,CouponId,Category,ATP,Day,TimePoint,WetCycling,Material,WetMat,Sample,Materials,RH,Objects/mL,Objects/cm2,gDNA well,gDNA plate,spore_density,hyphae_length
49.T3,49,GW,2004,35,,Wet,Gypsum,,5.49,GW,WET,56059000,560590,E1,5,587.063,4103.301
50.T3,50,GW,898,35,,Wet,Gypsum,,5.5,GW,WET,,,E2,5,,
51.T3,51,GW,1226,35,,Cycling,Gypsum,,5.51,GW,CYC,7869000,78690,E3,5,704.094,2941.31
52.T3,52,GW,1240,35,,Cycling,Gypsum,,5.52,GW,CYC,,,E4,5,,
53.T3,53,GW,761,35,,Cycling,Gypsum,,5.53,GW,CYC,4331000,43310,E5,5,660.793,2212.04
54.T3,54,GW,560,35,,Cycling,Gypsum,,5.54,GW,CYC,,,E6,5,,
55.T3,55,GW,610,35,,Cycling,Gypsum,,5.55,GW,CYC,4636000,46360,E7,5,325.859,1117.456
56.T3,56,GW,7434,35,,Cycling,Gypsum,,5.56,GW,CYC,,,E8,5,,
57.T3,57,GW,1159,35,,Cycling,Gypsum,,5.57,GW,CYC,10065000,100650,E9,5,1041.414,3120.009
58.T3,58,GW,449,35,,Cycling,Gypsum,,5.58,GW,CYC,,,E10,5,,
59.T3,59,GW,704,35,,Cycling,Gypsum,,5.59,GW,CYC,7259000,72590,E11,5,126.165,8961.262
60.T3,60,GW,700,35,,Cycling,Gypsum,,5.6,GW,CYC,,,E12,5,,
,,,,,,,,,Neg.5,NA,NA,,,H1,5,,
,,,,,,,,,Pos.5,NA,NA,,,H12,5,,
1.T4,1,MDF,85,49,,Wet,Medium Density Fiberboard,,7.1,MDF,WET,34282000,342820,A1,7,299.874,2046.099
2.T4,2,MDF,174,49,,Wet,Medium Density Fiberboard,,7.2,MDF,WET,,,A2,7,,
3.T4,3,MDF,2600,49,,Wet,Medium Density Fiberboard,,7.3,MDF,WET,14945000,149450,A3,7,2265.255,3935.815
4.T4,4,MDF,580,49,,Wet,Medium Density Fiberboard,,7.4,MDF,WET,,,A4,7,,
5.T4,5,MDF,639,49,,Wet,Medium Density Fiberboard,,7.5,MDF,WET,7930000,79300,A5,7,175.795,108.277
6.T4,6,MDF,460,49,,Wet,Medium Density Fiberboard,,7.6,MDF,WET,,,A6,7,,
7.T4,7,MDF,6023,49,,Wet,Medium Density Fiberboard,,7.7,MDF,WET,11712000,117120,A7,7,173.193,1121.403
8.T4,8,MDF,4062,49,,Wet,Medium Density Fiberboard,,7.8,MDF,WET,,,A8,7,,
9.T4,9,MDF,357,49,,Wet,Medium Density Fiberboard,,7.9,MDF,WET,28304000,283040,A9,7,170.62,1008.985
10.T4,10,MDF,1578,49,,Wet,Medium Density Fiberboard,,7.1,MDF,WET,,,A10,7,,
11.T4,11,MDF,1606,49,,Cycling,Medium Density Fiberboard,,7.11,MDF,CYC,18521818,185218.2,A11,7,226.515,99.24
12.T4,12,MDF,5457,49,,Cycling,Medium Density Fiberboard,,7.12,MDF,CYC,,,A12,7,,
13.T4,13,MDF,957,49,,Cycling,Medium Density Fiberboard,,7.13,MDF,CYC,4148000,41480,B1,7,118.847,466.215
14.T4,14,MDF,4220,49,,Cycling,Medium Density Fiberboard,,7.14,MDF,CYC,,,B2,7,,
15.T4,15,MDF,3876,49,,Cycling,Medium Density Fiberboard,,7.15,MDF,CYC,1769000,17690,B3,7,172.509,208.244
16.T4,16,MDF,3515,49,,Cycling,Medium Density Fiberboard,,7.16,MDF,CYC,,,B4,7,,
17.T4,17,MDF,3243,49,,Cycling,Medium Density Fiberboard,,7.17,MDF,CYC,7930000,79300,B5,7,138.11,326.676
18.T4,18,MDF,4239,49,,Cycling,Medium Density Fiberboard,,7.18,MDF,CYC,,,B6,7,,
19.T4,19,MDF,1865,49,,Cycling,Medium Density Fiberboard,,7.19,MDF,CYC,6710000,67100,B7,7,170.717,52.076
20.T4,20,MDF,2411,49,,Cycling,Medium Density Fiberboard,,7.2,MDF,CYC,,,B8,7,,
21.T4,21,OSB,310,49,,Wet,Oreiented Strand Board,,7.21,OSB,WET,73688000,736880,B9,7,2723.534,685.881
22.T4,22,OSB,411,49,,Wet,Oreiented Strand Board,,7.22,OSB,WET,,,B10,7,,
23.T4,23,OSB,826,49,,Wet,Oreiented Strand Board,,7.23,OSB,WET,89731000,897310,B11,7,6489.33,17607.474
24.T4,24,OSB,915,49,,Wet,Oreiented Strand Board,,7.24,OSB,WET,,,B12,7,,
25.T4,25,OSB,133,49,,Wet,Oreiented Strand Board,,7.25,OSB,WET,47153000,471530,C1,7,799.5439,3705.085
26.T4,26,OSB,1022,49,,Wet,Oreiented Strand Board,,7.26,OSB,WET,,,C2,7,,
27.T4,27,OSB,237,49,,Wet,Oreiented Strand Board,,7.27,OSB,WET,81313000,813130,C3,7,1261.015,18814.463
28.T4,28,OSB,343,49,,Wet,Oreiented Strand Board,,7.28,OSB,WET,,,C4,7,,
29.T4,29,OSB,517,49,,Wet,Oreiented Strand Board,,7.29,OSB,WET,62647000,626470,C5,7,894.673,6266.798
30.T4,30,OSB,608,49,,Wet,Oreiented Strand Board,,7.3,OSB,WET,,,C6,7,,
31.T4,31,OSB,1452,49,,Cycling,Oreiented Strand Board,,7.31,OSB,CYC,32208000,322080,C7,7,1309.403,2444.966
32.T4,32,OSB,4734,49,,Cycling,Oreiented Strand Board,,7.32,OSB,CYC,,,C8,7,,
33.T4,33,OSB,671,49,,Cycling,Oreiented Strand Board,,7.33,OSB,CYC,18361000,183610,C9,7,850.752,736.641
34.T4,34,OSB,372,49,,Cycling,Oreiented Strand Board,,7.34,OSB,CYC,,,C10,7,,
35.T4,35,OSB,231,49,,Cycling,Oreiented Strand Board,,7.35,OSB,CYC,53619000,536190,C11,7,1551.513,5660.446
36.T4,36,OSB,724,49,,Cycling,Oreiented Strand Board,,7.36,OSB,CYC,,,C12,7,,
37.T4,37,OSB,481,49,,Cycling,Oreiented Strand Board,,7.37,OSB,CYC,12017000,120170,D1,7,451.386,910.881
38.T4,38,OSB,218,49,,Cycling,Oreiented Strand Board,,7.38,OSB,CYC,,,D2,7,,
39.T4,39,OSB,399,49,,Cycling,Oreiented Strand Board,,7.39,OSB,CYC,24400000,244000,D3,7,315.937,1074.968
